dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000057,fibroblast,241
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000067,ciliated epithelial cell,352
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000071,blood vessel endothelial cell,929
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000097,mast cell,274
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000151,secretory cell,3877
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000186,myofibroblast cell,200
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000192,smooth muscle cell,1017
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000235,macrophage,217
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000236,B cell,3
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000669,pericyte cell,669
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0000814,mature NK T cell,192
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,30-year-old human stage,European,CL:0002138,endothelial cell of lymphatic vessel,49
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000057,fibroblast,492
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000067,ciliated epithelial cell,66
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000071,blood vessel endothelial cell,50
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000097,mast cell,49
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000151,secretory cell,200
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000186,myofibroblast cell,420
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000192,smooth muscle cell,56
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000235,macrophage,280
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000236,B cell,23
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000669,pericyte cell,13
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0000814,mature NK T cell,287
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,46-year-old human stage,European,CL:0002138,endothelial cell of lymphatic vessel,244
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000057,fibroblast,426
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000067,ciliated epithelial cell,37
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000071,blood vessel endothelial cell,441
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000097,mast cell,12
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000151,secretory cell,666
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000186,myofibroblast cell,1673
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000192,smooth muscle cell,521
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000235,macrophage,131
scRNA-seq analysis of healthy human fallopian tubes,c6413315-7158-46c5-a5fd-7228385694f1,ampulla of uterine tube,UBERON:0012648,female,unknown,52-year-old human stage,European,CL:0000236,B cell,34
