dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000094,granulocyte,13
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000232,erythrocyte,14
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000233,platelet,10
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000236,B cell,286
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000576,monocyte,33
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000623,natural killer cell,261
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000624,"CD4-positive, alpha-beta T cell",2
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000775,neutrophil,12
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000784,plasmacytoid dendritic cell,14
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000798,gamma-delta T cell,188
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000897,"CD4-positive, alpha-beta memory T cell",287
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000898,naive T cell,415
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000909,"CD8-positive, alpha-beta memory T cell",506
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000972,class switched memory B cell,3
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000982,IgG plasmablast,2
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000984,IgA plasmablast,7
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0000990,conventional dendritic cell,18
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0001050,"effector CD8-positive, alpha-beta T cell",20
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,36-year-old human stage,European,CL:0001054,CD14-positive monocyte,215
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000094,granulocyte,37
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000232,erythrocyte,35
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000233,platelet,6
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000236,B cell,185
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000576,monocyte,149
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000623,natural killer cell,444
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000624,"CD4-positive, alpha-beta T cell",1
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000775,neutrophil,17
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000784,plasmacytoid dendritic cell,26
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000798,gamma-delta T cell,10
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000897,"CD4-positive, alpha-beta memory T cell",98
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000898,naive T cell,107
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000909,"CD8-positive, alpha-beta memory T cell",259
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000982,IgG plasmablast,1
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000984,IgA plasmablast,4
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0000990,conventional dendritic cell,37
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0001050,"effector CD8-positive, alpha-beta T cell",4
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,female,unknown,49-year-old human stage,European,CL:0001054,CD14-positive monocyte,680
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000094,granulocyte,18
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000232,erythrocyte,98
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000233,platelet,2
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000236,B cell,182
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000576,monocyte,52
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000623,natural killer cell,215
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000624,"CD4-positive, alpha-beta T cell",3
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000775,neutrophil,1
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000784,plasmacytoid dendritic cell,17
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000798,gamma-delta T cell,70
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000897,"CD4-positive, alpha-beta memory T cell",297
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000898,naive T cell,192
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000909,"CD8-positive, alpha-beta memory T cell",566
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000972,class switched memory B cell,8
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000982,IgG plasmablast,3
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,blood,UBERON:0000178,male,unknown,37-year-old human stage,European,CL:0000984,IgA plasmablast,2
