dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:0000115,endothelial cell,9666
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:0000235,macrophage,202
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:0000738,leukocyte,1244
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:0019018,blood vessel smooth muscle cell,598
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1000692,kidney interstitial fibroblast,938
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1000838,kidney proximal convoluted tubule epithelial cell,738
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1000849,kidney distal convoluted tubule epithelial cell,529
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,3510
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1001431,kidney collecting duct principal cell,2523
Spatial transcriptomics in the healthy human kidney: Puck_200115_09,c2dec445-4116-4b6d-9253-a73f9516460f,renal medulla,UBERON:0000362,male,unknown,50-year-old human stage,European,CL:1001432,kidney collecting duct intercalated cell,920
